timestamp,test-class,test-method,time,description,result
2021-06-08 18:34:20.723,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,8754,"[1] recordIndex=6, author=12345, text=12345, info=null, atributo1=01/12/2077, atributo2=2020/01/01 10:00, atributo3=EUR 100.00, atributo4=true",OK
2021-06-08 18:34:27.623,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,6556,"[2] recordIndex=7, author=123456, text=123456, info=http://www.example1.org, atributo1=03/03/2011, atributo2=2020/01/08 19:03, atributo3=USD 12.09, atributo4=false",OK
2021-06-08 18:34:35.782,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,7876,"[3] recordIndex=8, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, atributo1=01/06/2021, atributo2=2020/04/08 19:03, atributo3=USD 56.99, atributo4=false",OK
2021-06-08 18:34:45.548,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,9499,"[4] recordIndex=9, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, atributo1=01/06/2221, atributo2=2020/10/08 19:03, atributo3=EUR 156.99, atributo4=true",OK
2021-06-08 18:34:48.446,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,2621,"[1] author=, text=null, info=n, atributo1=02/03/291j, atributo2=2022/03/01 12:78, atributo3=EUR 123.93, atributo4=false",OK
2021-06-08 18:34:51.855,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,3052,"[2] author=12345678901234567890123456, text=John Doe hard          core, info=http, atributo1=02/03/2020, atributo2=2020/02/02 12:48, atributo3=USD 12.93, atributo4=true",OK
2021-06-08 18:34:54.899,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,2734,"[3] author=1234, text=1234, info=google.es, atributo1=null, atributo2=null, atributo3=null, atributo4=false",OK
2021-06-08 18:34:58.197,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,3003,"[4] author=, text=12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901 -- + de 100 caracteres, info=alum.us.es, atributo1=02/04/3030, atributo2=02/04/2020 02:34, atributo3=null, atributo4=true",OK
2021-06-08 18:35:01.311,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,2667,"[5] author=, text=sex dd     hard             core, info=https//g, atributo1=null, atributo2=null, atributo3=USD 48.23, atributo4=false",OK
2021-06-08 18:35:17.448,acme.testing.controlCheck.AnonymousShoutsListTest,list,4617,"[1] recordIndex=0, moment=2021/06/02 10:00, author=John Doe, text=I'm happy!, info=null, atributo1=01/12/2000, atributo2=2021/05/02 10:00, atributo3=USD 80.00, atributo4=false",OK
2021-06-08 18:35:22.925,acme.testing.controlCheck.AnonymousShoutsListTest,list,5115,"[2] recordIndex=1, moment=2021/06/02 16:00, author=Foo Bar, text=Just turning 50!, info=http://www.example1.org, atributo1=03/12/2000, atributo2=2021/05/02 10:00, atributo3=USD 30.00, atributo4=false",OK
2021-06-08 18:35:27.691,acme.testing.controlCheck.AnonymousShoutsListTest,list,4498,"[3] recordIndex=2, moment=2021/06/02 01:00, author=Francisco Borrego, text=Este es un texto muy guay., info=null, atributo1=04/12/2000, atributo2=2021/05/02 10:00, atributo3=EUR 15.50, atributo4=true",OK
2021-06-08 18:35:32.474,acme.testing.controlCheck.AnonymousShoutsListTest,list,4527,"[4] recordIndex=3, moment=2021/06/02 13:00, author=Jesus Vargas, text=Hola miren mi proyecto., info=https://github.com/Francisco-Borrego/Acme-Planner/, atributo1=06/12/2000, atributo2=2021/05/02 10:00, atributo3=EUR 100.00, atributo4=true",OK
2021-06-08 18:35:37.312,acme.testing.controlCheck.AnonymousShoutsListTest,list,4586,"[5] recordIndex=4, moment=2021/06/02 21:00, author=Antonio Funes, text=Me gusta mucho esta página., info=https://www.us.es/, atributo1=07/12/2000, atributo2=2021/05/02 10:00, atributo3=EUR 100.00, atributo4=true",OK
2021-06-08 18:35:42.275,acme.testing.controlCheck.AnonymousShoutsListTest,list,4510,"[6] recordIndex=5, moment=2021/06/02 21:00, author=Usuario de incógnito, text=Esta página está chula, info=https://www.google.es/, atributo1=08/12/2000, atributo2=2021/05/02 10:00, atributo3=EUR 100.00, atributo4=true",OK
2021-06-08 18:35:59.563,acme.testing.controlCheck.AdministratorDashboardShowTest,showPositive,4914,"[1] ratio1=0.62, ratio2=0.00, avgSheetsUSD=60.00, avgSheetsEUR=64.92, devSheetsUSD=21.60, devSheetsEUR=43.01, nPrivateTask=3, nPublicTask=15, nFinishedTask=8, nNotFinishedTask=10, averageTaskExecutionPeriods=525.22, deviationTaskExecutionPeriods=927.62, minimumTaskExecutionPeriods=0, maximumTaskExecutionPeriods=4029, averageTaskWorkloads=25.05, deviationTaskWorkloads=32.08, minimumTaskWorkloads=0.10, maximumTaskWorkloads=90.45",OK
