timestamp,test-class,test-method,time,description,result
2021-09-10 10:22:22.747,acme.testing.examen.AdministratorDashboardShowTest,showPositive,5119,"[1] ratioShoutsFlaggedAsImportant=0.63, ratioShoutsWithBudgetZero=0.25, averageShoutsGroupedByEUR=48.67, deviationShoutsGroupedByEUR=44.5, averageShoutsGroupedByUSD=19.0, deviationShoutsGroupedByUSD=16.39, averageShoutsGroupedByGBP=6.0, deviationShoutsGroupedByGBP=6.0, nPrivateTask=3, nPublicTask=15, nFinishedTask=8, nNotFinishedTask=10, averageTaskExecutionPeriods=518.44, deviationTaskExecutionPeriods=926.39, minimumTaskExecutionPeriods=0, maximumTaskExecutionPeriods=4029, averageTaskWorkloads=25.05, deviationTaskWorkloads=32.08, minimumTaskWorkloads=0.10, maximumTaskWorkloads=90.45",OK
2021-09-10 10:22:36.587,acme.testing.examen.AnonymousShoutsListTest,list,4588,"[1] recordIndex=0, moment=2021/09/09 10:00, author=John Doe, text=I'm happy!, info=null, label=21-0909-000, deadline=2021/11/03 10:00, budget=EUR 111.00, important=true",OK
2021-09-10 10:22:40.82,acme.testing.examen.AnonymousShoutsListTest,list,4010,"[2] recordIndex=1, moment=2021/09/09 12:00, author=Jane Doe, text=I'm the master of my room!, info=http://www.example.org, label=21-0909-001, deadline=2021/11/04 12:00, budget=USD 0.00, important=true",OK
2021-09-10 10:22:45.091,acme.testing.examen.AnonymousShoutsListTest,list,4062,"[3] recordIndex=2, moment=2021/09/09 16:00, author=Foo Bar, text=Just turning 50!, info=http://www.example1.org, label=21-0909-010, deadline=2021/11/05 16:00, budget=GBP 12.00, important=false",OK
2021-09-10 10:22:49.304,acme.testing.examen.AnonymousShoutsListTest,list,4005,"[4] recordIndex=3, moment=2021/09/09 01:00, author=Francisco Borrego, text=Este es un texto muy guay., info=null, label=21-0909-011, deadline=2021/11/06 01:00, budget=EUR 10.00, important=false",OK
2021-09-10 10:22:53.535,acme.testing.examen.AnonymousShoutsListTest,list,4023,"[5] recordIndex=4, moment=2021/09/09 13:00, author=Jesus Vargas, text=Hola miren mi proyecto., info=https://github.com/Francisco-Borrego/Acme-Planner/, label=21-0909-101, deadline=2021/11/07 13:00, budget=GBP 0.00, important=true",OK
2021-09-10 10:22:57.708,acme.testing.examen.AnonymousShoutsListTest,list,3967,"[6] recordIndex=5, moment=2021/09/09 21:00, author=Antonio Funes, text=Me gusta mucho esta página., info=https://www.us.es/, label=21-0909-110, deadline=2021/11/08 21:00, budget=USD 40.00, important=true",OK
2021-09-10 10:23:00.896,acme.testing.examen.AnonymousShoutsListTest,list,2982,"[7] recordIndex=6, moment=2021/09/09 21:00, author=Usuario de incógnito, text=Esta página está chula, info=https://www.google.es/, label=21-0909-111, deadline=2021/11/09 21:00, budget=EUR 25.00, important=true",OK
2021-09-10 10:23:16.739,acme.testing.examen.AnonymousShoutsCreateTest,create,7105,"[1] recordIndex=7, author=12345, text=1, info=null, label=-222, deadline=null, budget=EUR 0.00, important=true",OK
2021-09-10 10:23:22.311,acme.testing.examen.AnonymousShoutsCreateTest,create,5355,"[2] recordIndex=8, author=123456, text=12, info=http://www.example1.org, label=-223, deadline=null, budget=USD 15.00, important=false",OK
